date,open,high,low,close,volume
1985-02-19,1.3225,1.3248,1.3204,1.3204,841200
1985-02-20,1.3204,1.3248,1.3139,1.3181,879600
1985-02-21,1.3181,1.3204,1.3116,1.3116,499200
1985-02-22,1.3116,1.3139,1.2851,1.2874,1027200
1985-02-25,1.2874,1.2895,1.2785,1.2851,1665600
1985-02-26,1.2895,1.3093,1.2851,1.3093,1996800
1985-02-27,1.3050,1.3248,1.3027,1.3160,826800
1985-02-28,1.3139,1.3160,1.3072,1.3072,1248000
1985-03-01,1.3072,1.3204,1.3027,1.3139,1368000
1985-03-04,1.3160,1.3160,1.3050,1.3093,1117200
1985-03-05,1.3072,1.3093,1.2960,1.2960,1875600
1985-03-06,1.2983,1.2983,1.2807,1.2828,955200
1985-03-07,1.2807,1.2960,1.2785,1.2916,1566000
1985-03-08,1.2874,1.2939,1.2851,1.2851,799200
1985-03-11,1.2807,1.2895,1.2807,1.2851,730800
1985-03-12,1.2874,1.3072,1.2851,1.3006,750000
1985-03-13,1.3006,1.3072,1.2960,1.3050,476400
1985-03-14,1.2983,1.3116,1.2960,1.3072,703200
1985-03-15,1.3116,1.3160,1.3072,1.3116,1256400
1985-03-18,1.3160,1.3204,1.3093,1.3116,937200
1985-03-19,1.3139,1.3160,1.3093,1.3116,609600
1985-03-20,1.3116,1.3116,1.3050,1.3072,458400
1985-03-21,1.3027,1.3139,1.2983,1.3116,1460400
1985-03-22,1.3204,1.3248,1.3072,1.3181,1630800
1985-03-25,1.3160,1.3181,1.3050,1.3093,609600
1985-03-26,1.3116,1.3139,1.3027,1.3116,1840800
1985-03-27,1.3116,1.3181,1.3093,1.3160,858000
1985-03-28,1.3139,1.3160,1.3093,1.3093,999600
1985-03-29,1.3116,1.3271,1.3093,1.3204,2258400
1985-04-01,1.3204,1.3292,1.3181,1.3292,847200
1985-04-02,1.3292,1.3404,1.3292,1.3404,5894400
1985-04-03,1.3139,1.3139,1.3027,1.3027,2067600
1985-04-04,1.2983,1.3072,1.2895,1.3050,1012800
1985-04-08,1.2983,1.3093,1.2960,1.2960,726000
1985-04-09,1.2916,1.2939,1.2851,1.2895,782400
1985-04-10,1.2939,1.3160,1.2939,1.3116,1868400
1985-04-11,1.3181,1.3315,1.3181,1.3248,1150800
1985-04-12,1.3225,1.3315,1.3204,1.3292,1356000
1985-04-15,1.3337,1.3425,1.3292,1.3358,1012800
1985-04-16,1.3404,1.3490,1.3381,1.3469,2048400
1985-04-17,1.3557,1.3557,1.3337,1.3404,1209600
1985-04-18,1.3381,1.3404,1.3271,1.3292,824400
1985-04-19,1.3271,1.3292,1.3204,1.3271,1957200
1985-04-22,1.3248,1.3292,1.3248,1.3248,1221600
1985-04-23,1.3225,1.3404,1.3225,1.3381,2716800
1985-04-24,1.3490,1.3513,1.3404,1.3469,1424400
1985-04-25,1.3490,1.3778,1.3469,1.3755,1160400
1985-04-26,1.3755,1.3778,1.3623,1.3690,816000
1985-04-29,1.3669,1.3669,1.3490,1.3513,1262400
1985-04-30,1.3513,1.3557,1.3248,1.3292,4341600
1985-05-01,1.3271,1.3292,1.3006,1.3006,2150400
1985-05-02,1.3027,1.3160,1.3027,1.3160,1074000
1985-05-03,1.3116,1.3225,1.3072,1.3204,656400
1985-05-06,1.3181,1.3204,1.3160,1.3160,684000
1985-05-07,1.3204,1.3225,1.3160,1.3204,916800
1985-05-08,1.3204,1.3337,1.3204,1.3271,1048800
1985-05-09,1.3271,1.3404,1.3271,1.3358,1288800
1985-05-10,1.3469,1.3646,1.3446,1.3623,913200
1985-05-13,1.3602,1.3690,1.3557,1.3669,1764000
1985-05-14,1.3623,1.3669,1.3602,1.3623,1364400
1985-05-15,1.3669,1.3734,1.3623,1.3734,1261200
1985-05-16,1.3778,1.3934,1.3734,1.3867,972000
1985-05-17,1.3822,1.4043,1.3801,1.4043,924000
1985-05-20,1.4043,1.4132,1.3999,1.4110,2437200
1985-05-21,1.4020,1.4043,1.3911,1.3999,1520400
1985-05-22,1.4020,1.4020,1.3955,1.4020,1350000
1985-05-23,1.4020,1.4020,1.3911,1.3999,2019600
1985-05-24,1.3976,1.4020,1.3976,1.4020,1740000
1985-05-28,1.4043,1.4087,1.4020,1.4043,1281600
1985-05-29,1.4043,1.4087,1.3976,1.3976,1058400
1985-05-30,1.4020,1.4087,1.3976,1.4043,1400400
1985-05-31,1.4087,1.4176,1.4043,1.4153,1388400
1985-06-03,1.4176,1.4264,1.4176,1.4264,1845600
1985-06-04,1.4264,1.4308,1.4220,1.4308,1717200
1985-06-05,1.4264,1.4396,1.4220,1.4396,2187600
1985-06-06,1.4375,1.4485,1.4352,1.4464,1777200
